,0
44058,0
140811,0
255943,0
135815,0
77321,0
41435,0
216876,0
55176,0
151258,0
20241,0
217052,0
188480,0
225396,0
221590,0
74614,0
231151,0
14746,0
191383,0
199902,0
63773,0
40489,0
29137,0
136395,0
236644,0
20693,0
262055,0
72435,0
210152,0
210043,0
200974,0
118914,0
199747,0
33346,0
108413,0
102262,0
119467,0
247191,0
1008,0
1618,0
156025,0
90805,0
91508,0
147780,0
145943,0
69906,0
124237,0
74277,0
88177,0
97478,0
250548,0
47906,0
238121,0
47237,0
100844,0
74055,0
35341,0
243054,0
233802,0
63992,0
119649,0
190351,0
123003,0
9568,0
250547,0
183346,0
76653,0
11342,0
142295,0
13588,0
59549,0
6241,0
36143,0
139089,0
89913,0
184121,0
81379,0
145114,0
11391,0
192314,0
211737,0
7941,0
73140,0
214185,0
142995,0
127750,0
236915,0
141193,0
83448,0
111510,0
187095,0
194992,0
21430,0
93557,0
203426,0
80485,0
1663,0
21774,0
41414,0
149910,0
171885,0
179321,0
197709,0
267080,0
242634,0
207860,0
10077,0
199093,0
192058,0
241248,0
57338,0
62760,0
13035,0
80930,0
242696,0
153090,0
159043,0
100209,0
10207,0
17920,0
213978,0
94157,0
215507,0
24106,0
260905,0
150280,0
257350,0
142162,0
54076,0
54427,0
143395,0
24835,0
93880,0
64793,0
191259,0
207400,0
34009,0
51290,0
3482,0
78903,0
129112,0
203364,0
226105,0
86332,0
118479,0
211835,0
237212,0
154872,0
185563,0
232651,0
103495,0
185538,0
210733,0
96978,0
186380,0
172665,0
118607,0
93275,0
217156,0
58337,0
39919,0
75281,0
58299,0
19253,0
96940,0
135115,0
211033,0
73985,0
211337,0
261970,0
73693,0
93012,0
58872,0
52238,0
167587,0
103639,0
38683,0
11020,0
211640,0
93022,0
251469,0
157449,0
74320,0
256377,0
167056,0
40056,0
153695,0
35535,0
226891,0
193400,0
26057,0
111187,0
153876,0
208560,0
201964,0
134220,0
157051,0
174847,0
149563,0
53637,0
158044,0
121769,0
240913,0
186892,0
34762,0
113973,0
117015,0
40119,0
222151,0
209875,0
148715,0
14508,0
147037,0
72413,0
50005,0
259459,0
245704,0
196167,0
184688,0
201465,0
129923,0
232208,0
89322,0
5407,0
117990,0
76961,0
254090,0
18236,0
235137,0
98687,0
267322,0
98698,0
267355,0
234293,0
4538,0
91306,0
112850,0
243647,0
214655,0
214658,0
126599,0
198198,0
104888,0
243491,0
182322,0
214691,0
234681,0
174033,0
98561,0
145704,0
143229,0
254237,0
68954,0
145677,0
151628,0
139743,0
243440,0
102401,0
175182,0
91125,0
170410,0
254359,0
254624,0
122978,0
127121,0
230389,0
98251,0
140101,0
11550,0
247977,0
193562,0
140995,0
180553,0
183184,0
127349,0
137155,0
137591,0
103384,0
31548,0
137910,0
94181,0
151815,0
219927,0
69361,0
86798,0
134924,0
199285,0
178901,0
206859,0
46735,0
259822,0
93150,0
243928,0
181228,0
58353,0
10878,0
100356,0
54228,0
79546,0
2278,0
98220,0
50428,0
77919,0
33358,0
47370,0
261414,0
127239,0
9109,0
238608,0
70623,0
101405,0
212202,0
116073,0
90314,0
129821,0
164484,0
124467,0
5704,0
240023,0
109425,0
189139,0
185930,0
142758,0
244411,0
76241,0
34174,0
158483,0
27976,0
87213,0
164120,0
171352,0
55535,0
10072,0
241199,0
120306,0
188422,0
35404,0
240426,0
106958,0
213381,0
25217,0
75961,0
42342,0
28489,0
240350,0
190907,0
1062,0
181565,0
57974,0
152249,0
230175,0
6506,0
64902,0
191601,0
145230,0
76975,0
228991,0
244441,0
226310,0
75251,0
97332,0
259918,0
6647,0
254110,0
244433,0
